epos,train_acc,test_acc,loss
141,0.636,0.5599999999999999,73.6375323677
142,0.6273999999999998,0.6360000000000001,69.0310915804
143,0.6200000000000001,0.5820000000000001,67.4617004871
144,0.6196,0.652,67.1029336166
145,0.6169999999999999,0.634,67.2027978611
146,0.6037999999999999,0.606,68.8118657017
147,0.6356,0.5980000000000001,61.6149170542
148,0.6579999999999998,0.42000000000000004,54.7127088261
149,0.6118,0.552,63.9387279987
150,0.6182,0.602,56.5518972588
151,0.6273999999999998,0.5700000000000001,54.8815028191
152,0.6174,0.5959999999999999,57.298564682
153,0.6306000000000002,0.5820000000000001,51.3516743946
154,0.6290000000000001,0.546,53.9828178692
155,0.6066000000000003,0.5459999999999999,56.0276598358
156,0.6118000000000001,0.554,56.8362733364
157,0.6356,0.6,48.3173575306
158,0.6383999999999999,0.6399999999999999,50.5382198143
159,0.6324000000000001,0.6439999999999999,50.0206971645
160,0.6400000000000001,0.608,48.6698465538
161,0.6331999999999998,0.5980000000000001,49.8225217056
162,0.6465999999999998,0.6060000000000001,45.874866209
163,0.6360000000000001,0.574,48.2855004787
164,0.6687999999999998,0.646,44.3601236343
165,0.6614,0.6960000000000001,42.7119734287
166,0.6693999999999997,0.6579999999999999,44.8763911915
167,0.6315999999999998,0.7059999999999998,47.995787487
168,0.6460000000000001,0.6299999999999999,44.0113416862
169,0.6325999999999999,0.708,45.2110109043
170,0.6463999999999998,0.6659999999999999,44.2532676506
171,0.6677999999999998,0.654,43.3210336208
172,0.6397999999999997,0.542,44.1906412983
173,0.6509999999999999,0.704,44.135861578
174,0.6607999999999999,0.7379999999999999,42.7855723095
175,0.6723999999999998,0.6699999999999999,41.758547163
176,0.6851999999999998,0.658,40.5480931282
177,0.6829999999999999,0.708,38.5811759186
178,0.6938000000000001,0.646,39.3041207409
179,0.6864000000000001,0.6519999999999999,39.6216777945
180,0.6592,0.6220000000000001,44.0228808689
181,0.696,0.6940000000000001,41.0633292627
182,0.6977999999999995,0.688,39.754239502
183,0.7133999999999999,0.702,36.9768309212
184,0.716,0.664,37.038261776
185,0.7056,0.6440000000000001,37.7583194542
186,0.7006,0.662,41.3170439291
187,0.6822000000000003,0.762,39.9050195599
188,0.7057999999999999,0.6,36.6278761101
189,0.7042,0.6779999999999999,37.2318532562
190,0.7142000000000001,0.738,37.1174706554
191,0.7062,0.634,38.2943784809
192,0.7142000000000001,0.666,37.9434161282
193,0.7127999999999998,0.712,37.5660238361
194,0.7036000000000002,0.66,37.6202774477
195,0.7285999999999997,0.758,35.2493249416
196,0.7106,0.646,36.3161332607
197,0.7460000000000002,0.7380000000000001,33.3640818501
198,0.7357999999999998,0.8139999999999998,36.6557779217
199,0.7086,0.764,36.5736219025
200,0.7025999999999999,0.7239999999999999,38.4861146498
201,0.73,0.7180000000000001,35.6060707045
202,0.7144000000000001,0.6820000000000002,35.8133865738
203,0.7233999999999999,0.7100000000000002,35.6977712679
204,0.7446,0.782,34.1152161217
205,0.7608000000000003,0.71,32.0791242886
206,0.7408000000000001,0.6599999999999999,34.1911826038
207,0.7253999999999999,0.748,36.1927223158
208,0.7266000000000002,0.64,35.3404175901
209,0.7472,0.6699999999999999,32.6819008112
210,0.7527999999999999,0.7060000000000001,32.7899769497
211,0.7356000000000005,0.7,34.3690781641
212,0.7418000000000005,0.7140000000000001,32.3518693447
213,0.7534000000000001,0.7879999999999999,33.8233103657
214,0.7484000000000003,0.7,32.4370244503
215,0.7670000000000001,0.6779999999999999,30.9804484701
216,0.7374,0.7619999999999999,33.4258680582
217,0.7609999999999999,0.7,33.7069778681
218,0.7648000000000004,0.706,31.0351360989
219,0.7532,0.6739999999999999,31.3618839025
220,0.7671999999999994,0.784,30.5777990866
221,0.7446,0.6359999999999999,33.8370124865
222,0.7557999999999998,0.7620000000000001,31.5339149189
223,0.7561999999999999,0.712,31.9364583397
224,0.7606000000000002,0.79,30.9742753553
225,0.7589999999999995,0.7500000000000001,32.5472210503
226,0.7662000000000002,0.736,31.3309923935
227,0.7689999999999999,0.776,30.1709107399
228,0.7652,0.6900000000000001,31.0487026691
229,0.7844000000000001,0.748,28.8109848261
230,0.7633999999999999,0.738,30.0573854589
231,0.7730000000000001,0.774,29.5021013737
232,0.7726000000000001,0.686,30.1554249704
233,0.7784000000000006,0.7539999999999999,29.990015049
234,0.7817999999999996,0.7299999999999999,30.3620661831
235,0.7823999999999995,0.8160000000000001,28.5641321135
236,0.7758000000000002,0.708,30.9076589108
237,0.7946000000000004,0.7660000000000001,28.6152416801
238,0.7918,0.764,27.7264505482
239,0.7614000000000003,0.71,30.9782098293
240,0.8,0.7979999999999999,27.4337776852
241,0.7842,0.734,27.8179343367
242,0.7946,0.778,28.2763423681
243,0.796,0.78,27.1461877584
244,0.7966,0.6859999999999999,28.1089522886
245,0.7857999999999997,0.7780000000000001,28.1378311062
246,0.7964000000000004,0.78,27.4738246155
247,0.7853999999999999,0.8160000000000002,30.7784510183
248,0.8118,0.8239999999999998,24.901172924
249,0.8204000000000002,0.794,24.9780294156
250,0.7876000000000001,0.78,30.5430835104
251,0.8135999999999997,0.732,24.9683740425
252,0.8220000000000003,0.752,23.7725780749
253,0.8152000000000004,0.782,26.5417295122
254,0.8240000000000005,0.868,23.2884182882
255,0.8222,0.784,25.2895963192
256,0.8150000000000003,0.792,25.837315135
257,0.8081999999999998,0.77,26.8248713684
258,0.8037999999999998,0.812,26.7600858688
259,0.8430000000000004,0.8219999999999998,22.0994094646
260,0.8290000000000001,0.8240000000000001,23.4520177197
261,0.8163999999999997,0.792,24.3546346283
262,0.8146000000000002,0.8020000000000002,25.0526517057
263,0.8297999999999996,0.7219999999999999,22.9975540292
264,0.8385999999999999,0.8300000000000001,21.5734001946
265,0.8359999999999996,0.8280000000000001,22.1116753006
266,0.8362,0.8300000000000001,22.4530358553
267,0.8272000000000004,0.866,23.8529861069
268,0.8029999999999997,0.782,25.776443758
269,0.8442000000000003,0.8,21.2555133653
270,0.8492000000000002,0.812,20.4485034657
271,0.8470000000000002,0.8099999999999999,20.9362732017
272,0.8384000000000005,0.8180000000000002,22.2680655766
273,0.8101999999999993,0.8960000000000001,26.9929440951
274,0.8442000000000001,0.8159999999999998,21.8002448368
275,0.8306,0.8860000000000001,23.001361351
276,0.8475999999999995,0.7839999999999999,21.005827991
277,0.8328,0.786,21.8086882901
278,0.8379999999999996,0.7940000000000002,22.104810521
279,0.8422000000000003,0.7979999999999999,21.1253501558
280,0.8565999999999998,0.7499999999999999,20.060137403
281,0.8539999999999999,0.8160000000000001,20.5736162114
282,0.85,0.8299999999999998,20.1452979362
283,0.8464,0.7820000000000001,21.1392632127
284,0.847,0.812,21.4071638143
285,0.8365999999999993,0.826,23.4308434498
286,0.8481999999999998,0.874,21.1171616614
287,0.8617999999999999,0.8300000000000001,19.4392560625
288,0.8435999999999999,0.8640000000000001,20.2733510464
289,0.8773999999999993,0.826,16.2681007683
290,0.8492000000000001,0.8340000000000002,21.0707284892
291,0.8695999999999999,0.874,17.8283980942
292,0.8802000000000002,0.8520000000000001,16.2582213813
293,0.8641999999999997,0.842,18.0984106779
294,0.8785999999999998,0.8780000000000001,16.9856810856
295,0.8698000000000004,0.882,18.0238475311
296,0.8876000000000002,0.828,15.8653364766
297,0.8837999999999997,0.892,18.4390413865
298,0.8724,0.8739999999999999,18.5906154655
299,0.8914000000000003,0.826,14.8295057321
300,0.9003999999999995,0.842,13.7374447595
301,0.9079999999999999,0.844,12.4645484692
302,0.8859999999999996,0.8840000000000001,16.8073870534
303,0.8933999999999997,0.8780000000000001,16.1864268643
304,0.9044,0.9,13.0151918259
305,0.8855999999999998,0.922,14.6406866834
306,0.9,0.892,13.5342962784
307,0.8835999999999997,0.8460000000000001,15.9732023525
308,0.9078000000000002,0.8840000000000001,12.9438787651
309,0.9051999999999998,0.806,13.2533643484
310,0.8993999999999996,0.914,14.3972302902
311,0.9046000000000001,0.8799999999999999,12.5300996697
312,0.9004000000000001,0.884,13.5257235011
313,0.9068,0.9359999999999999,13.0382562028
314,0.9036000000000002,0.9139999999999999,13.1790453437
315,0.9141999999999999,0.882,11.7985503197
316,0.9055999999999997,0.9380000000000001,19.2303948975
317,0.9221999999999996,0.8779999999999999,10.7553376586
318,0.9186,0.8539999999999999,10.8363274544
319,0.9276000000000002,0.9040000000000001,9.47142553605
320,0.9197999999999993,0.9299999999999999,10.4211180803
321,0.9165999999999999,0.916,12.7611781767
322,0.9198000000000002,0.874,9.86030006081
323,0.9303999999999998,0.9260000000000002,9.24452705711
324,0.9171999999999998,0.8700000000000001,11.2526902281
325,0.9343999999999998,0.922,8.60491551995
326,0.9137999999999994,0.8979999999999999,11.1670442313
327,0.9305999999999996,0.9279999999999999,8.96853818744
328,0.9271999999999998,0.9279999999999999,9.34013993479
329,0.9204000000000001,0.8480000000000001,10.401875053
330,0.9458000000000001,0.9359999999999999,7.03625326436
331,0.9296000000000005,0.8779999999999999,9.05224960403
332,0.9185999999999998,0.8880000000000001,12.0616398156
333,0.9103999999999997,0.884,12.2467165444
334,0.9345999999999997,0.9340000000000002,10.1184593072
335,0.9193999999999994,0.8640000000000001,11.6555261627
336,0.9331999999999993,0.968,7.87129652818
337,0.9286,0.9179999999999999,9.66488291666
338,0.9286000000000001,0.898,9.47056596279
339,0.9215999999999999,0.9359999999999999,10.2609969098
340,0.9251999999999996,0.96,12.269258971
341,0.9279999999999998,0.9359999999999999,9.39821774028
342,0.9269999999999996,0.9199999999999999,9.36691578299
343,0.9289999999999998,0.9019999999999999,9.75372675143
344,0.9131999999999995,0.9400000000000001,11.7448843625
345,0.9316000000000002,0.876,9.26924653709
346,0.9396,0.9720000000000001,7.8557394851
347,0.9341999999999999,0.9480000000000001,10.5007231493
348,0.9205999999999996,0.9280000000000002,11.2803600597
349,0.9314000000000001,0.9019999999999999,9.34377249569
350,0.9353999999999997,0.9100000000000001,10.2800014932
351,0.9059999999999997,0.85,14.7363778318
352,0.9315999999999995,0.9239999999999998,9.38345493972
353,0.9400000000000002,0.9360000000000002,7.75629839145
354,0.9449999999999998,0.9040000000000001,6.73177726097
355,0.939,0.916,8.69439730328
356,0.9475999999999997,0.892,6.62438796075
357,0.927,0.9339999999999999,9.60084180641
358,0.9447999999999996,0.892,7.29171882326
359,0.9373999999999997,0.9120000000000001,7.41774221675
360,0.9410000000000003,0.924,8.42400128908
361,0.9413999999999997,0.952,7.41958535591
362,0.9323999999999998,0.9420000000000002,9.45595337719
363,0.9423999999999997,0.9280000000000002,7.62250804126
364,0.9460000000000002,0.9259999999999999,8.26224399636
365,0.9432000000000003,0.9480000000000001,7.72420941763
366,0.9306,0.9339999999999998,8.81281065404
367,0.9323999999999998,0.8800000000000001,8.87131037995
368,0.9425999999999997,0.95,7.13411148718
369,0.9366000000000005,0.9359999999999999,8.08622759376
370,0.9418000000000001,0.8780000000000001,8.40439865522
371,0.9368,0.952,7.83661745178
372,0.9403999999999998,0.938,7.09058436872
373,0.9339999999999999,0.8879999999999999,10.0292052355
374,0.9279999999999999,0.8579999999999999,9.37374408077
375,0.9373999999999998,0.932,9.01047170836
376,0.9387999999999999,0.9380000000000003,7.44869681342
377,0.9431999999999998,0.9280000000000002,6.65782891812
378,0.9485999999999997,0.9079999999999998,6.61084159509
379,0.9491999999999997,0.95,6.16462499887
380,0.9261999999999996,0.962,10.8245872431
381,0.9401999999999998,0.8859999999999999,8.72680097849
382,0.9426000000000001,0.946,7.23402963445
383,0.9498000000000001,0.914,5.8137026445
384,0.9503999999999997,0.868,7.03492406874
385,0.9399999999999998,0.932,8.03741186084
386,0.9395999999999997,0.952,7.91266857975
387,0.9501999999999998,0.9380000000000001,6.40022992222
388,0.9513999999999997,0.954,5.63880354799
389,0.944,0.9199999999999999,7.31591315731
390,0.9442,0.916,7.24724399659
391,0.9371999999999998,0.93,8.1653499132
392,0.9433999999999999,0.9480000000000001,7.65120099207
393,0.9409999999999998,0.9339999999999999,7.17654199623
394,0.9546000000000001,0.9640000000000001,6.3075458435
395,0.9531999999999998,0.93,7.01702349888
396,0.9399999999999993,0.8960000000000001,11.3060130784
397,0.9361999999999998,0.9199999999999999,8.53870574836
398,0.9533999999999998,0.9440000000000002,6.1313753216
399,0.9481999999999998,0.9039999999999999,6.52370770812
400,0.9506000000000003,0.9359999999999997,6.00557069168
401,0.9483999999999996,0.962,5.59635317504
402,0.9480000000000001,0.966,7.56479497209
403,0.9431999999999999,0.9199999999999999,9.10595245071
404,0.9397999999999999,0.9219999999999999,8.11880968425
405,0.9470000000000001,0.9339999999999999,6.34337680351
406,0.9411999999999996,0.9019999999999999,7.56672225975
407,0.9478,0.9179999999999999,6.24134624982
408,0.9408000000000003,0.9400000000000002,7.82028595876
409,0.9471999999999998,0.9340000000000002,6.37269873679
410,0.9486,0.9560000000000001,5.86130053487
